id,name,host_id,host_name,room_type,price,minimum_nights,availability_365
1087381,"Perfect Location, Cozy One Bedroom",1455726,Fiona,Entire home/apt,557,1,353
1115437,"Homy 2 Bedroom Apt A, Superhost, Great Location ",4093103,Ollie,Entire home/apt,705,1,352
1124875,"Great Room Renting in Wukesong, BJ.",2157107,Yi,Private room,154,2,174
1160338,East meets West CBD zen center,3752142,AME,Entire home/apt,966,1,0
1160910,3 Rooms for Max 6 People  Courtyard,5042487,Qun,Private room,503,1,364
1165040, Newyard Promotion  Former Residence of Mei Lanfang,5042487,Qun,Private room,134,1,364
1165067, W   BREAKFAST  DONGSI COURTYARD Sihe Hospital,5042487,Qun,Private room,510,1,364
1198579,Offer in Courtyard Room,6547841,Beijing Courtyard Hotel Sihe,Private room,597,1,365
1199365,"Cozy studio in BJ CBD, Ritan Park",291540,Cigdemchen,Entire home/apt,436,2,317
1237187,Large   Modern Apartment for Family Living in CBD,192875,East Apartments,Entire home/apt,859,1,355
1276777,Spacious apartment with 5 beds near CBD  38 ,192875,East Apartments,Entire home/apt,738,1,338
1285333,The closest Wangjing 798 apartment,6993205,Xing,Private room,255,2,361
1302948,Beijing courtyard Hotel Deluxe RM,6547841,Beijing Courtyard Hotel Sihe,Private room,711,1,365
1303113,Beijing Siheyuan Hotel Home Executive House Beijing Sihe Courtyard Hotel Family RM,6547841,Beijing Courtyard Hotel Sihe,Private room,980,1,365
1303170,Beijing courtyard Hotel VIP RM,6547841,Beijing Courtyard Hotel Sihe,Private room,1154,1,365
1325945,798 Fresh style Bedroom with Study,6993205,Xing,Private room,295,2,361
1370541,Beijing suburb excellent transport,7432149,Guan T,Private room,67,3,87
1484562,Near Beijing subway an apartment,4237084,Washa,Private room,127,1,295
1521874,Nature style 1 bedroom near CHAOYANG Park,7816614,Alyssa,Private room,168,2,329
1543047,Gladys Garden   casual living 4,4346816,David,Private room,282,2,271
1635589,Wangjing Baoxing Garden rental a bedroom  limited to girl ,4493874,Me,Private room,201,2,228
1642183,Toleracay in Sang,8562373,Sunny,Private room,503,1,290
1643534,Sunny   Cozy Apt in Beijing,7790897,Zhaohui & shufang,Entire home/apt,376,2,336
1661849,Quadrangle Courtyard  Siheyuan ,2562442,Chen,Private room,758,1,270
1694369,New apartment in center of beijing,8949572,Jason,Entire home/apt,658,4,364
1777848,my big cozy international apartment,9333953,for,Entire home/apt,503,3,274
1779178,big room near subway  east chaoyang,9341318,Enoch,Private room,127,1,47
1784379,Cozy Private Room in the University,6532783,Dee,Private room,154,1,114
1787002,Cozy local style room in hutong center of Beijing,9378155,Alamo,Private room,201,3,352
1787751,"sleep 4,studio near airport express",707535,Robert,Entire home/apt,537,1,352
1834479,"Small room in chaoyang, shuangqiao",9591809,Snow,Private room,121,2,61
1834587,"welcome to beijing ,we have a room",9591809,Snow,Private room,121,2,16
1837260,"welcome to beijing, we have a room",9341318,Enoch,Private room,127,2,49
1900447,Modern courtyard in center of Beijing,722507,Craig,Entire home/apt,872,2,0
1925662,Close to the warm one bedroom bed room for the subway,9975678,Pleasant accommodation,Entire home/apt,349,1,365
1941773, Happy home  hotel apartment fine decoration,9975678,Pleasant accommodation,Entire home/apt,349,1,360
1941997,"Know the Sichun Road, hardcover, warm family room special rental",9975678,Pleasant accommodation,Entire home/apt,369,1,361
2005158,Modern cosy flat in hutong area,10323699,Alec,Entire home/apt,221,2,0
2022824,Studio Apartment in Central Beijing,1455726,Fiona,Entire home/apt,396,1,351
2077431,"Beijing Hutong people   the quiet, Qianlong, the second place",8946249,line,Entire home/apt,275,3,213
2095350,fantastic city view around Guomao,5169497,Alexis,Private room,302,2,365
2098657,Sanlitun Home on the Cover of AD,2217662,Vicky,Entire home/apt,450,5,61
2139790,"The bag is located in Kunyu River, surrounding tumors, air force, 304 hospitals, Carrefour, subway bus facilitates.",10917947,Brunt,Entire home/apt,315,1,347
2190095,2 bedrooms 2hall service Apartment,11169560,Chao,Entire home/apt,953,7,365
2229512,Huge 3bd Rm Unit Near BJ West Sta.,11380168,Leslie,Private room,201,2,90
2414072,BEAUTIFUL NEW LUXURY LARGE 1 BR APT,12339716,Aaron,Entire home/apt,1074,1,365
2432965,Seasons Park Studio apartment  03,12437088,Claire,Entire home/apt,403,1,363
2433033,Seasons Park Studio apartment  01,12437088,Claire,Entire home/apt,403,1,359
2433122,Seasons Park 1 bedroom apartment  Dongzhimen   1,12437088,Claire,Entire home/apt,503,1,361
2540862,Modern Loft Apt in Hip Neighborhood,598562,Rania,Entire home/apt,1208,3,358
2556768,"a awesome chestnut house,by mutianyu Great wall",10097902,Jimmy,Private room,1899,1,359
2560741,Romantic Apt next to the Green wood,8406670,Ying,Entire home/apt,302,3,270
2634250,Luxury 3 bedrooms Serviced Apt,11790218,Ying,Entire home/apt,1490,5,364
2717860,Free shuttle to the airport  subway,13908836,Pangxiaoliang,Entire home/apt,282,1,365
2719982,Free shuttle to the airport  subway,13908836,Pangxiaoliang,Entire home/apt,282,1,365
2779504,Comfortable 5 Beds 3Bedroom 2BTH Apt near CBD,192875,East Apartments,Entire home/apt,1007,1,351
2779901,3BD 2BTH  4Beds  Serviced Apt  A40 ,192875,East Apartments,Entire home/apt,819,1,350
2797791,Beijing Great Wall Escape,14311129,Andrew,Entire home/apt,953,1,355
2889922,Going to the East 2nd Ring Industry Road to Sanlitun 5 minutes,14770202,Celebrate,Entire home/apt,980,1,364
2989696,A private room in Northwest Beijing,3506659,Fan & sam.,Private room,302,2,64
3015545,Tiantongyuan subway station hardcover repair bedroom rental,15366694,stone,Private room,168,1,365
3069570,Traditional China House in a Garden,12339709,Xuan,Entire home/apt,953,3,358
3077753,Hotel style apt close to Sanlitun,5093349,Bryce,Entire home/apt,248,2,0
3085229,"20th Floor, Pretty 2 Room No. 3, Huaqing Jiayuan, Wudaokou, Beijing",15699445,Ben,Entire home/apt,3000,15,363
3097388,Upscale 1 BR Apt in City Center,5460330,WEI qing,Entire home/apt,570,3,353
3105131,Cozy Flat Close To Forbidden City,15786034,Jason,Entire home/apt,423,3,234
3114942,Apartment near Sanlitun Area,15827578,Xi,Entire home/apt,1503,7,83
3116888,2 bedroom diplomat home near subway,15838559,Weimin,Entire home/apt,591,2,0
3139576,Cool LOFT close to Li Ning Center,10116182,Ted,Private room,201,2,321
3200395,3 bed 2BTH  5Beds  Serviced Apt  A32 ,192875,East Apartments,Entire home/apt,859,1,357
3211028,"Yuppie Wang Kai Li s space, your hamlet",11379144,Kaili,Private room,235,1,365
3231112,Hidden in Sanlitun,10264962,Bobo,Entire home/apt,1342,7,88
3371149,Warm and comfortable modern apartment near Huangchenggen Tiananmen Palace,17007374,Mumu,Entire home/apt,698,2,176
3387246,Modern Comfy Large Studio near CBD,5557443,Jade,Entire home/apt,336,1,364
3387406,Comfy Studio Near CBD,5557443,Jade,Entire home/apt,336,1,365
3389315,Lovely Great Wall Country House,4638979,Patrick,Entire home/apt,1503,2,83
3416332,World Wide Welcome,13726293,Zhiguang,Private room,302,1,364
3429464,Best family apartment,17284672,Linda,Entire home/apt,986,2,190
3499185,sanlitun large room near embassy and subway,17619297,Cathy,Private room,617,30,365
3518354,Balcony Room CBD   East Fourth Ring Road Separate Toilet and Balcony,17145598,Robin,Private room,268,1,320
3571646,Exchange Accommodation BJ SH,14143367,Siichao,Entire home/apt,403,1,365
3649223,"Five mouth, warm and simple big bedroom, five minutes walk of the five way business circle, near Qingbei, North, Lin Da, Mine University, Bar Street",18436368,wheat,Private room,268,1,33
3681827,UNIQUE SPACE HOME 1MIN TO METRO,13604427,Iris,Entire home/apt,785,2,0
3714901,"Jiuxian Bridge, the medieval classical belt kitchen is independent",6993205,Xing,Entire home/apt,396,2,351
3725519,A Beer Theme Room with a great Located in Chaoyang,5557603,Emma,Private room,188,1,0
3734120,Fucheng Road Traffic Super Convenience Community,19076299,Jingjing,Entire home/apt,356,3,0
3793864,International Trade CBD World Trade Heavenly World City Hotel,19482030,Love,Entire home/apt,597,31,365
3795645,International Trade New City International Endai,19482030,Love,Entire home/apt,879,31,364
3795992,International Trade CBD New City International Retest Regular Sanchaside,19482030,Love,Entire home/apt,1154,30,365
3796163,East straight home small apartment,19482030,Love,Entire home/apt,698,31,365
3802970,Guomao CBD High end Apartment,19482030,Love,Entire home/apt,799,30,364
3803542,Guomao CBD Hotel Service Apartment,19482030,Love,Entire home/apt,651,31,364
3804282,Big Bedroom with Private Bathroom,13347104,CICY,Private room,235,7,88
3813723,East Zhimen Metro Second Embassy District Hotel Apartment,19482030,Love,Entire home/apt,597,31,365
3821936,Guomao World Trade Heaven is adjacent to small appended small appendix for long term residence,19482030,Love,Entire home/apt,597,30,364
3863360,Sunny room in great loft next Sihui,19941160,Martin,Private room,208,1,290
3865812,Minimalist quiet apartment,16602434,Chuck,Private room,248,4,4
3866222,Cozy Bedroom,13347104,CICY,Private room,141,1,175
3878233,Your home away from home,5557443,Jade,Entire home/apt,336,1,296
3899392,Complete set of warm 2 bedroom   entire cozy 2 bedroom apartment,19813944,Neo,Entire home/apt,181,1,320
3927018,Cosy Studio In Central Park  New City International ,10669972,Alex,Entire home/apt,752,2,157
3953376,"Guomao Dawang Road, New Guangguang, opposite, hardcover",19482030,Love,Entire home/apt,503,30,365
3953745,Guomao Dawang Road Subway D is 30 meters high in the apartment,19482030,Love,Entire home/apt,799,30,365
3963178,"The first embarrassment area near Xiushui Street near Xiushui Street, Xiushui Street, Tianxing Street, Hongshan Avenue",19482030,Love,Entire home/apt,698,30,365
3971474,Guomao New City International Sanyue Room Five Standards,19482030,Love,Entire home/apt,1550,30,365
4009069,"H1 Entire 3bedrooms,2bathrooms",20788084,Happy short-term rental apartment,Entire home/apt,624,3,290
4009332,"H2 Entire, 2bedrooms 2bathrooms",20788084,Happy short-term rental apartment,Entire home/apt,577,3,361
4016289,Guomao CBD New City International Big Three Boots can be long and short,19482030,Love,Entire home/apt,1047,30,364
4018161,"East straight door, Hall, Haiyu, Mingshang",19482030,Love,Entire home/apt,953,30,364
4018389,Guomao CBD New Town University can stay short term rental,19482030,Love,Entire home/apt,2000,5,364
4025985,Guomao CBD Fortune Center three living room long term rent,19482030,Love,Entire home/apt,953,30,364
4028276,H1 Private room with balcony,20788084,Happy short-term rental apartment,Private room,181,3,337
4028395,H2 Private room,20788084,Happy short-term rental apartment,Private room,168,3,290
4028476,H3 Private room with bathroom,20788084,Happy short-term rental apartment,Private room,262,2,363
4028766,H4 Private room with bathroom,20788084,Happy short-term rental apartment,Private room,228,3,358
4028873,H5 Private room with bathroom,20788084,Happy short-term rental apartment,Private room,262,3,358
4041258,Guomao New City International One Room can be long and short,19482030,Love,Entire home/apt,597,30,364
4056031,Beijing South Railway Station   Warm Apartment,18504611,Mengmeng,Entire home/apt,302,1,0
4069460,Warm and modern,20845268,Leah,Entire home/apt,148,15,0
4085687,International Trade CBD Fortune Center 2nd Room Long Taxi,19482030,Love,Entire home/apt,752,30,364
4091552,DISCOVER THE MAGIC OF NORTH SANLITUN ,6778029,Th,Entire home/apt,403,20,317
4093392,Dongzhimen outside Haishengyuan Hall Area 2nd Room can be long and short,19482030,Love,Entire home/apt,872,30,365
4102482,deluxe one bedroom   downtown,1456491,Stay,Entire home/apt,497,1,361
4106251,"Luxury 3B 2B, Great Location, Maid, Subway Station",11110559,Bob,Entire home/apt,939,3,337
4106316,Art lover s paradise in Beijing,21303248,Stacy,Private room,443,1,180
4121250,Junior Double Room,21345581,North Ping Garden,Private room,1181,1,345
4121354,Deluxe Double Room Deluxe Room,21345581,North Ping Garden,Private room,1577,1,357
4121580,Standard Twin Room Independent Bathroom Space,21345581,North Ping Garden,Private room,980,1,342
4152653,Hillside countryhome by great walls,20303446,Little,Entire home/apt,1007,7,0
4165566,Double Bed Private Ensuite Separate Bathroom Double Room,21345581,North Ping Garden,Private room,879,1,353
4175383, Long Rental Offer             Comfortable Independence Room   Extreme Simply Industrial Wind Sanlitun   International Trade   CBD   Dynasty   Industry,21122758,Yuli,Private room,208,2,13
4219257,Blissful Studio 4mins to subway,15874316,Jade,Entire home/apt,336,1,365
4222923,Homefree along Near CBD   Airport,15874316,Jade,Entire home/apt,336,1,181
4258685,"Cozy apartment , 8mins to subway",4328815,There is,Entire home/apt,282,2,0
4278904,"Your Cosy,Clean Home in CBD Beijing",6545574,Erica,Private room,228,1,365
4280214,Your Comfortable Home in Beijing CBD area,6545574,Erica,Private room,228,1,365
4305365,living room and comfortable bedroom,13347104,CICY,Private room,134,1,179
4305366,Beautiful   Comfortable Living Room,13347104,CICY,Shared room,101,1,87
4408558,Walk to Subway airport bus station,22511590,Home,Private room,148,28,365
4408777,Homey   Comfy 1BD APT  Sanlitun,7562343,Yuan,Entire home/apt,309,2,72
4415395," Left Bank Bed and Bed, Joy City Sunset Airlines  Youth Road Subway Station   Chaoyang Joy City   Deluxe Queen Room",22918546,Joyce,Entire home/apt,396,1,356
4457180,Traditional courtyard house,22546717,Tong,Private room,470,1,91
4494508,In The Breathing House Of Sky,23311920,Please,Entire home/apt,678,2,363
4585254,"Clean, Bright   Centrally Located Flat with View",18327553,Mike,Entire home/apt,302,14,0
4610554,Jinsi Courtyard in Central Beijing,23888364,Ji Chang,Private room,476,1,361
4625941,D15 Bird s Nest Water Congratulations Clean and Comfortable Big Two,23959915,Joyce,Entire home/apt,510,2,298
4640119,Value Center Apartment Best Value Entire Flat   CBD,10772125,Albert,Entire home/apt,289,2,141
4731055,Ji House Beijing Courtyard Old Beijing Traditional Siheyuan,24430925,Wangshan Jiqingtang,Private room,691,1,328
4739385,Bell and Drum Tower,24467174,Bee,Private room,262,7,0
4741091,Sweet home of the city centre,22368389,Prostitute,Entire home/apt,483,3,0
4746548,Traditional hutong courtyard house,22546717,Tong,Private room,570,1,361
4778028,Beijing East 2nd Ring   Dong San   Light Show   Chaoyangmen Subway Station   Simple,24533082,Winfay,Shared room,101,1,0
4795169,Guomao CBD boutique service can be long and short,19482030,Love,Entire home/apt,597,1,365
4812705,Living with two trees,24787175,Liheng,Shared room,127,2,109
4825764,"Yi Zhuang Ma Bridge s most value for money elevator high level self cultivation, two residences can be changed",21730766,Joe,Entire home/apt,342,1,0
4826078, Juvenile  Beijing Daxing Mission is bombarded with a single family garden villa  Southern California style ,24637235,Jianbo,Entire home/apt,3295,1,365
4827732,Zhoa Cozy studio near subway,15855533,Zhoa,Entire home/apt,416,1,106
4850257,I am situated next to the Southwest Second Ring Dynasty Theater.,24955912,south,Private room,127,1,46
4857138,A Place You Can Call It Home,24987006,Leing & Jun,Private room,228,1,306
4864988,"Xishan Image   Lan Yue Joy Apartment  real scene is close to Qidien Subway, Teacher, North Shadow, Beihang, Olympics Park ",22705046,Sun,Entire home/apt,248,2,356
4878955,"Near airport T1 2 3,apartment",22403478,Lu,Private room,208,1,74
4899894,Jinsi Courtyard in central Beijing2,23888364,Ji Chang,Private room,476,1,353
4911685,Big house with garden in Beijing,25293004,Sophie,Entire home/apt,1134,2,361
4917080,798 Art Zone 798 Art Zone Comfort Senior Apartment Awesome Vision,25323900,Zheng,Private room,208,1,353
4951287,"Lovely room in Wudaokou area, BLCU",17133104,Ting Ting,Private room,228,1,363
4982247,Beijing Foreign Language University Homestay Tourism Cozy Home Your Like Stay,20587694,Shuqun,Private room,336,1,319
4990531, Orchid s  9  Big Private Hutong Residence ,25729513,Joel,Private room,1610,2,304
4995564,Zi Xuan s nest,25686494,Zi Xuan,Private room,228,1,0
4998951,Awesome one room apartment for rent,11964395,Hao,Entire home/apt,1342,1,0
5022725,homestay  CBD Beijing,25919151,Hannah,Private room,201,1,22
5032897,Boho Urban Sanctuary   Sanlitun CBD,7562343,Yuan,Entire home/apt,376,1,81
5063347,luxurious room near Metro  CBD,18369049,Christin,Private room,161,3,0
5071177,Traditional hutong courtyard house,22546717,Tong,Private room,268,1,95
5087466,High end housing in high end community,26281018,quiet,Entire home/apt,302,15,198
5101112,Family Travel Cottage Huaishi Ski Resort,23433047,Doris,Private room,268,1,365
5135190,Loft in a Kids Art Animation Studio,12538290,Sibyl,Shared room,235,2,124
5137146,Beijing Haoya Hotel Apartment  World City ,26561111,Winter,Entire home/apt,651,1,364
5138122,"Yizhuang Economic and Technological Development Zone is warm 3 year old, the two is very beautiful, and it is very beautiful when the vision is not smog ",26566650,Sophie,Private room,127,1,0
5149320,Located in the Double Subway Exit,26623685,Trace,Private room,248,1,364
5257726,Sanyuan Bridge Phoenix High end Community Aerial View CBD 30 Square Living Room 2 New Health Room 24 hour Hot Water 15 minute Airport,15042345,Yvonne,Entire home/apt,799,4,71
5257727,Modern studio in CBD embassy area,15042345,Yvonne,Entire home/apt,718,360,0
5262411,Guomao CBD Baisi Bay Southeast Asia,27240167,HoneyCherry,Entire home/apt,356,1,355
5281548,"Direct to Tiananmen, Nanluogu Lane, Sanlitun, Beihai, Jingshan Park, European Style Metro Line 6 grasshouse LOFT limited time special offer",27343689,in,Private room,215,1,91
5313865,Zhoa Spacious studio near subway,15855533,Zhoa,Entire home/apt,416,1,106
5320059,BrownRoom   AsianStyleBoutique,27562598,Frank,Entire home/apt,530,1,0
5354823,2br Summer Sublet central urban apt,27757267,Michael,Entire home/apt,1007,30,363
5433892,Cozy room with private full bath,28187874,Bryan,Private room,302,1,365
5473522,Designer style three ring big room,19076299,Jingjing,Private room,591,1,0
5491823,Huaxia Sunshine Serviced Apt D ,3488642,Chunyu,Entire home/apt,389,1,352
5500096,Luxury 4 bedrooms duplex in park avenue,28514966,Lan,Entire home/apt,2550,1,333
5512411,Home in CBD,26561111,Winter,Entire home/apt,651,1,364
5513165,Two rooms and one hall,28598126,Xu Xiaofei,Entire home/apt,698,1,180
5517546,STYLISH Studio 4  Walk to Subway Near Country Trade   Communication University   Subway Holding,5557443,Jade,Entire home/apt,336,1,365
5517598,"Warm two rooms, convenient, live",28616371,Orchid,Entire home/apt,503,3,245
5517711,"Low price to the Yangtze Ren, you can rent  Haidian North master bedroom rental, Wenyang Road Station, Line 16, Huawei North Research Institute, only 20 minutes from Northwest China Software Park",28616565,Bob,Private room,141,1,0
5539207,Three faced South 2nd room,28598126,Xu Xiaofei,Entire home/apt,637,1,180
5542795,Dong Sanhuan Double Apartment,27183851,Zhenzheng,Private room,208,1,364
5571880,Warm room on the first floor,15362430,Miss,Private room,503,1,365
5572523,Invisble Room doesn t have to bring boring life supplies as long as you enjoy a travel room,28892323,For,Private room,87,1,0
5573471,"Close to Beijing South Railway Station, downstairs subway station  second room ",28897187,Bao Bao,Private room,168,1,136
5577084,2 Br Family Suite Metro Tongzhou Beiyuan,28727732,Will,Entire home/apt,470,3,159
5594254,"Close to Beijing South Railway Station, downstairs subway station  No. 3 room ",28897187,Bao Bao,Private room,161,1,156
5608398,The Sunshine Warm Romantic Bed and Breakfast of the High end Community next to the Guangxi Homeland Seven minute Metro,28278548,spring,Entire home/apt,382,2,356
5611781,Holiday villa in Beijing Huairou Hill      Sending a Walking No. 1,29090596,Meizi,Entire home/apt,1798,1,257
5622017,Beijing Downtown Houhai Hutong Cozy Bungalow House,15072791,Joyce,Entire home/apt,201,3,356
5631410,Beijing Fangshan CSD Outlet Exquisite Loft Apartment,29185435,plum,Entire home/apt,235,1,351
5644182,1 Bad Loft Room East 3rd Ring Line 10 3 Minutes Imprint Pan Home Station,29253260,Amy,Private room,201,1,364
5654076,Advanced Duplex Apartment Friends Little Leisure Vacation Family Travel,29304772,Celebrate,Entire home/apt,1597,1,346
5665038,Cozy appartment near to Beijing airport,29368554,Zhijie,Private room,174,1,365
5687029,LOFT space 300mq Near 798  ,27439769,Milan,Entire home/apt,3000,1,364
5709715," North Shadow, Zhongguancun, North Hospital Third Hospital, Bird s Nest, Anzhen  No. 10 Peony Garden Subway Warm Sanya  Long Rental Offer ",29605408,Maggie,Entire home/apt,637,1,365
5714531,Home sweet home,28965305,WEI,Private room,127,1,364
5740388,Cozy Sofa Bed at Dongzhimen,14661026,Ian,Shared room,87,2,73
5741741,Superb bedroom at Dongzhimen,14661026,Ian,Private room,201,2,87
5741800,"Cozy courtyard in houshayu, hunshal",29770416,Dong,Private room,201,1,362
5768441,Sugar Youth Hostel,11528702,Sharle,Shared room,87,1,347
5777349,Designer style three ring big room,19076299,Jingjing,Entire home/apt,591,1,0
5777362,Cozy Studio Near CBD   Airport,15874316,Jade,Entire home/apt,336,1,365
5778638,Comfortable bedroom near798art area,27439769,Milan,Private room,181,2,365
5828761,Hopson International Park  3rd Ring,30255560,Lily,Private room,228,3,88
5839731,Beijing Wangfujing Haihai Near Boutique Rental,30320328,ginger,Entire home/apt,597,1,356
5841968,          Bird s nest country will preserve 2 5 people kitchen dishes can be cooked for rice   big boiley window comfort family room long rent 260   day,30331961,Rose Rose,Entire home/apt,356,1,364
5863936,2BR Unique Apartment Near Line5,30349905,Kitty,Entire home/apt,201,7,288
5865446,        Communication University   Er Exterior   Dingfu Zhuang Comfort Bedroom,30456975,Lyla,Private room,107,1,359
5875406," North Shadow, North Medical Third Hospital  Peony Garden Subway Warm 2  long rental offer ",29605408,Maggie,Entire home/apt,416,1,365
5876210,Wangjing South Metro   Near 798 Senior Apartment with Kitchen   4 people,27562598,Frank,Entire home/apt,470,1,0
5887641,Spacious Room in CBD Home Beijing,6545574,Erica,Private room,255,1,285
5894312,5 lines 20 square meters sun big single municipal heating can cook,22614693,Water,Private room,235,1,90
5905794,"East forty works, Sanlitun High end apartment rental",30320328,ginger,Private room,651,1,365
5912245,Safari House,29550715,TENGFEI,Private room,161,1,0
5953887,Metro Line 4 Biomedical Base West Wen 1 living room low price short rent,30906932,Strong,Entire home/apt,268,1,91
5982248,Apartment,31057866,Me,Private room,537,1,355
5982385,Home away in Beijing,8152938,Jc,Private room,201,15,364
5993502,Director of the Grand Street CBD Regional World Trade Anti faceted Nearby Industry Sanlitun Comfort Single Double Bed,31120580,Bright,Private room,356,1,363
6006911,Works Sanlitsu Xin Xiang Yayuan High end apartment rental,30320328,ginger,Entire home/apt,597,1,365
6019307,"2 Bedrooms condo, with a small private yard",31245153,Alex,Entire home/apt,396,1,0
6034500,BJ hutong lifestyle,31319664,Morgan,Private room,470,2,90
6058402,"Five star community, safe and comfortable.",31444762,Small mulberry,Private room,201,1,363
6067156,Western Third Ring Road near Metro Line 6 is 10 minutes from Nanluogu Lane ,29555409,There,Private room,188,3,259
6073229,"10 minute walk   take a bus to Sanlitun, Yansha, Chaoyang Park, the securities of the national core business circle, the surrounding environment is quiet, double subway arbitrarily",27324641,Katrina,Entire home/apt,342,2,0
6086159,Cozy Apartment near Wudaokou 4 guests ,24655983,Eva,Entire home/apt,597,1,113
6094759,UpscaleParkView   Embassy Chaoyang Park Liangmaqiao Lake View Grand Apartment Chicguestroom,15357886,Lilian,Private room,289,1,355
6095652,Spacious room near historical sites   bus subway,31634415,Dominique,Private room,101,1,75
6115173,"Coz ap close to SOHO,Samsung,Daimler in 20mins",31705868,Sunolivier,Private room,174,15,363
6121324,"Near Media University SubwayStop Apt, Female Only1",29552011,Jane,Private room,161,1,115
6130218,A nice hostel in Beijing. 1,31041434,Pingping,Shared room,101,3,180
6134230,Night ballet homes,31823990,Fangfang,Private room,1503,2,365
6142103,A Cozy Apt next to Wangjing SOHO,31860269,Man.,Entire home/apt,470,5,320
6163631,Red House at mutianyu Great Wall A,31972737,Angel,Entire home/apt,2000,1,365
6190598,Near to Panjiayuan Flea Market,30218336,Amber,Private room,195,1,157
6202834,"5B comfortable bedroom, 798 park, Hengtong Park, Electric Tong",32168949,Sunny､Koojing,Private room,255,1,364
6203040,Tsinghua Campus Learning Space Heating Sky Hot Water Sanitary Ware WIFI B   4 Youth Hostel,32169526,Zou sister,Shared room,114,2,60
6203323, Lotus Moonlight A  Tsinghua Campus Learning Space Desk Hot Satellite Air conditioned Refrigerator Laundry   Youth Hostel,32169526,Zou sister,Shared room,141,2,79
6207089,"      nearly near Chongwenmen East single South Second Ring, hardcover twin room",32187257,May,Entire home/apt,799,1,365
6215542,"5B separate bathroom, close to 798, Wangjing, Jiuxian Bridge.",32168949,Sunny､Koojing,Private room,295,1,364
6223892,Nanyuan Airport Beijing South Station Metro Chongwen Men Couple Viewing Room,32187257,May,Entire home/apt,490,1,365
6232044,"Tongren Association, Hospital Dongdai, Tiber, Family Twin Room",32187257,May,Entire home/apt,799,1,365
6234168,Communication University   Double Bridge   Garridge   Tongzhou Wanda   Metro Direct   Bedroom,32348111,Minghui,Private room,101,1,365
6243028,Chongwenmen Xidi East Single Subway No. 5 Puhuang Emperor Trunk Twin Room,32187257,May,Entire home/apt,799,1,91
6243357,Tiananmen Tiantan Dong Sai subway line 5 double bed family room live four people,32187257,May,Entire home/apt,799,1,90
6243409,Guomao Dongshi Chong Wenmen Luxury Deluxe Couple Queen Room,32187257,May,Entire home/apt,886,1,365
6262650,"Fully equipped, convenient transportation CONVENIENT HOUSE",32542318,Tianqing,Private room,181,1,0
6279324,Zhoa Spacious studio near subway,15855533,Zhoa,Entire home/apt,416,1,107
6285144,"Delightful,Private,Beijing studio",5557443,Jade,Entire home/apt,336,1,365
